user_id,country,gender,age,likes,comments,shares,profession,hobby,3-second-video-views,1-minute-video-views
U001,Germany,Male,50,4689,640,642,Scientist,Sports,5517,3790
U002,South Africa,Male,60,1062,607,888,Scientist,Cycling,8682,1302
U003,USA,Female,57,1173,170,1664,Developer,Painting,7140,381
U004,India,Male,21,2649,275,78,Doctor,Gaming,4600,3593
U005,USA,Female,32,4321,491,1153,Designer,Sports,9520,1275
U006,Canada,Non-binary,60,1865,607,1313,Musician,Gaming,8108,426
U007,South Africa,Female,37,1415,714,248,Teacher,Cooking,5436,4696
U008,UK,Female,56,2216,172,1765,Developer,Reading,7980,1466
U009,France,Male,17,2474,653,1168,Artist,Painting,7437,1065
U010,Canada,Male,61,2373,321,1045,Teacher,Sports,7042,1531
U011,Australia,Non-binary,53,2164,510,1138,Developer,Sports,913,4690
U012,Brazil,Male,46,4055,442,40,Scientist,Music,6010,2203
U013,Germany,Non-binary,28,2347,362,1231,Artist,Gaming,2417,2071
U014,Australia,Male,27,396,427,1098,Teacher,Painting,4175,3008
U015,France,Non-binary,30,3458,760,214,Entrepreneur,Sports,4538,303
U016,USA,Female,63,4758,236,1700,Entrepreneur,Painting,1286,3119
U017,Germany,Female,35,3966,742,1078,Teacher,Music,1500,3891
U018,Australia,Female,61,2165,684,1695,Designer,Cycling,7023,2747
U019,India,Male,38,3271,27,1995,Doctor,Traveling,2760,4673
U020,South Africa,Female,27,1149,160,1657,Developer,Music,1094,4378
U021,South Africa,Non-binary,45,31,993,1150,Doctor,Cycling,8676,4345
U022,France,Male,60,853,263,1679,Doctor,Cooking,6995,1393
U023,Japan,Non-binary,62,1838,315,1239,Entrepreneur,Traveling,3923,3601
U024,India,Non-binary,48,3561,654,355,Musician,Sports,7911,1061
U025,India,Male,47,1945,545,373,Scientist,Traveling,7894,4660
U026,France,Female,27,270,548,39,Artist,Painting,5656,2237
U027,UK,Male,52,2655,245,721,Doctor,Painting,9502,3227
U028,India,Male,21,2073,102,927,Teacher,Gaming,4029,2901
U029,France,Female,61,344,321,94,Doctor,Traveling,4844,4921
U030,USA,Female,57,1963,860,1947,Scientist,Traveling,7958,844
U031,South Africa,Female,13,2619,797,489,Doctor,Photography,9340,3496
U032,Australia,Non-binary,39,2005,617,1042,Designer,Gaming,1214,920
U033,France,Female,32,4243,721,964,Designer,Cycling,5083,3129
U034,Brazil,Female,27,3891,656,1073,Writer,Dancing,1923,3936
U035,Canada,Male,29,2390,997,529,Developer,Cooking,7550,2685
U036,Germany,Non-binary,27,550,393,1815,Developer,Cooking,6730,4050
U037,Germany,Male,28,2534,274,40,Entrepreneur,Photography,9353,594
U038,Australia,Non-binary,51,677,507,1201,Entrepreneur,Dancing,1064,2169
U039,India,Female,14,2769,726,1323,Designer,Traveling,5877,2254
U040,Canada,Female,25,3901,156,1697,Designer,Cooking,6029,3153
U041,Canada,Non-binary,35,2245,26,1972,Entrepreneur,Music,2754,1447
U042,UK,Non-binary,51,1396,45,1800,Artist,Traveling,9755,401
U043,UK,Male,43,902,596,1992,Designer,Sports,6636,3821
U044,France,Non-binary,35,3445,725,1289,Scientist,Cycling,8461,3847
U045,Brazil,Male,63,1603,776,1160,Artist,Music,1730,681
U046,South Africa,Non-binary,31,308,711,210,Artist,Gaming,2209,1943
U047,Australia,Non-binary,36,3835,253,1326,Teacher,Cycling,7284,3272
U048,Canada,Male,46,1153,668,1115,Artist,Dancing,9236,3275
U049,South Africa,Male,32,3064,531,1556,Developer,Cycling,3448,1177
U050,South Africa,Female,61,3373,894,1940,Artist,Gaming,151,2526
U051,Brazil,Female,25,4628,519,1231,Designer,Cycling,7941,2653
U052,UK,Male,45,2961,944,1502,Scientist,Sports,5770,2023
U053,UK,Non-binary,25,4611,609,1194,Designer,Music,4208,3189
U054,India,Female,35,4798,113,1210,Designer,Photography,1913,2101
U055,Japan,Male,42,2232,580,998,Artist,Painting,4401,2234
U056,Germany,Female,19,1390,537,528,Entrepreneur,Painting,8415,2775
U057,France,Non-binary,44,69,636,1307,Teacher,Painting,9339,1147
U058,Australia,Female,64,1338,384,852,Engineer,Music,269,3135
